PassengerId,Survived
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,1
905,0
906,0
907,1
908,1
909,0
910,0
911,1
912,1
913,0
914,1
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,0
953,0
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,1
962,0
963,1
964,0
965,0
966,0
967,1
968,1
969,1
970,0
971,0
972,1
973,1
974,1
975,1
976,0
977,0
978,0
979,0
980,0
981,1
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
1060,0
1061,1
1062,0
1063,1
1064,0
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,0
1096,1
1097,1
1098,1
1099,0
1100,0
